ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ckc5qvo730n5i0y6029gc7kbj,ckc5ldbunsqai0an45kfldmap,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fc97fff59-59bc-2861-539f-2e6b485eada0-00000020.png?Expires=1595113129349&KeyName=labelbox-assets-key-1&Signature=0rbH00mxCEeWLTYAgcX-lp8sDlk,"{""objects"":[{""featureId"":""ckc5qun250m190y7daedzc7jh"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5qun250m190y7daedzc7jh?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752149000,1593752254000,110.083,00000020.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5qvo730n5i0y6029gc7kbj
ckc5qxfsy0n9y0y609w4u99at,ckc5ldbursqe20an4d9xi7us0,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2F8245628b-4923-c27f-69ff-b052cf1a7e6c-00000052.png?Expires=1595113129353&KeyName=labelbox-assets-key-1&Signature=Tj-cdM_bG0LYKV3Mqq6zzhNFMiA,"{""objects"":[{""featureId"":""ckc5qwo3w0km80y6wcdctgzxc"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5qwo3w0km80y6wcdctgzxc?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752231000,1593752257000,69.326,00000052.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5qxfsy0n9y0y609w4u99at
ckc5qz44w0qmy0y51fsex7rni,ckc5ldbutsqhm0an46fzh3kod,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fe61ee3bc-c3bf-f032-910b-166916c66101-00000084.png?Expires=1595113129354&KeyName=labelbox-assets-key-1&Signature=17L3qiW_5dSTf3INualXdbHKGLI,"{""objects"":[{""featureId"":""ckc5qy2gc0nbr0y601up863yb"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5qy2gc0nbr0y601up863yb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752309000,1593752378000,51.029,00000084.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5qz44w0qmy0y51fsex7rni
ckc5qztbc0lwk0y59ba2i7jef,ckc5ldbupsqau0an44r7e6tht,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fb9c92035-0c14-a823-0e22-5941102d5fb5-00000023.png?Expires=1595113129354&KeyName=labelbox-assets-key-1&Signature=2dWW8qg2jSurEPn8f2K2OOqtVKg,"{""objects"":[{""featureId"":""ckc5qzpdy0kxz0y6w89qg1pa4"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5qzpdy0kxz0y6w89qg1pa4?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752342000,1593752379000,19.167,00000023.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5qztbc0lwk0y59ba2i7jef
ckc5r2xf60mwx0y7dha4z63a0,ckc5ldbursqee0an4bl6oh1vb,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fa270fc9e-923b-fdb7-a39f-2d6300d47fdc-00000055.png?Expires=1595113129355&KeyName=labelbox-assets-key-1&Signature=xqwTaplIdjWy1ZDR_ezEgFwzAN8,"{""objects"":[{""featureId"":""ckc5r0b050qt20y511hmb5qj7"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5r0b050qt20y511hmb5qj7?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752487000,1593752514000,144.077,00000055.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5r2xf60mwx0y7dha4z63a0
ckc5r5hn30n9v0y7dftz31hjw,ckc5ldbutsqhy0an4gd6u0z7r,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2F1407ef4d-6cb2-de95-50f4-a7f90c1045cf-00000087.png?Expires=1595113129355&KeyName=labelbox-assets-key-1&Signature=eNLUZtLTJT-xRQ6ISIRciHyyvqc,"{""objects"":[{""featureId"":""ckc5r42u40lfp0y6w314h1c47"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5r42u40lfp0y6w314h1c47?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752607000,1593752631000,103.49999999999999,00000087.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5r5hn30n9v0y7dftz31hjw
ckc5r6pdx0lso0y6w9tdw5lgn,ckc5ldbupsqb60an4aluzh80v,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fd8b2ecc2-fa8b-b0b9-fdb6-43a6ba0cccc5-00000026.png?Expires=1595113129356&KeyName=labelbox-assets-key-1&Signature=87Qsu4JmqF4XtzUa_yLZ-RY4Ahs,"{""objects"":[{""featureId"":""ckc5r5xuf0rhk0y5109im754q"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5r5xuf0rhk0y5109im754q?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752663000,1593752738000,47.277,00000026.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5r6pdx0lso0y6w9tdw5lgn
ckc5r7n6e0ohq0y608qgvcqhk,ckc5ldbursqeq0an4dm0bde2a,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fc0700ba7-c96e-5c06-358c-07c7f3e3d4f3-00000058.png?Expires=1595113129356&KeyName=labelbox-assets-key-1&Signature=SS8TDTn83PHARSApFCjMlTo349w,"{""objects"":[{""featureId"":""ckc5r7aq40q8f0y6n4d8b2tab"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5r7aq40q8f0y6n4d8b2tab?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752707000,1593752740000,35.071,00000058.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5r7n6e0ohq0y608qgvcqhk
ckc5r8cko0nos0y7dhqhk2wba,ckc5ldbuusqia0an41r4bf8za,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2Fa83f02e7-34fd-c9c5-0e44-d8f96d3a6bbf-00000090.png?Expires=1595113129356&KeyName=labelbox-assets-key-1&Signature=HrjA1rAiDR9isqnXzsnN29fyRy8,"{""objects"":[{""featureId"":""ckc5r7zw20nm20y7dg9mihdwx"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5r7zw20nm20y7dg9mihdwx?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752740000,1593752859000,26.405,00000090.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5r8cko0nos0y7dhqhk2wba
ckc5ra48i0ny50y7da245g2b2,ckc5ldbupsqbi0an43qrs2ziq,https://storage.labelbox.com/ckbz1f3fcx3k1079466sw3v84%2F7fd5078c-14c2-b3f3-7b31-155d79c2cdff-00000029.png?Expires=1595113129357&KeyName=labelbox-assets-key-1&Signature=FSNFSuy7vJoGOqGxaZjuHCVg2IE,"{""objects"":[{""featureId"":""ckc5r8rzu0m3v0y6w6y41ful2"",""schemaId"":""ckc5nirfi0a9z0y601lxea4xo"",""title"":""taillight"",""value"":""taillight"",""color"":""#00FFAA"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckc5r8rzu0m3v0y6w6y41ful2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2J6MWYzZnIzZjVqMDgzMHhhbnk1ZGI3Iiwib3JnYW5pemF0aW9uSWQiOiJja2J6MWYzZmN4M2sxMDc5NDY2c3czdjg0IiwiaWF0IjoxNTkzOTAzNTI5LCJleHAiOjE1OTY0OTU1Mjl9.Zmt3UUW3WE3KOhKeoeskJDAX_AwjXIRcb7qVZgGnZwg""}],""classifications"":[]}",elnagdyasu@gmail.com,AVML v1.0,1593752823000,1593752863000,72.852,00000029.png,-1,-1,,,taillights KITTI v1,[],https://editor.labelbox.com?project=ckc5l46lf1bep0820plhkd50b&label=ckc5ra48i0ny50y7da245g2b2
